ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Dependents,Property_area_Semiurban,Property_area_Urban,Property_area_Rural,Gender,Married,Education,Self_Employed,Loan_Status
11146.0,0.0,136.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
6216.0,0.0,133.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,0
7578.0,1010.0,175.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
8334.0,0.0,160.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,0
12000.0,0.0,164.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0
11000.0,0.0,83.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,0
9323.0,0.0,75.0,180.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
7085.0,0.0,84.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,1
15759.0,0.0,55.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,1
6822.0,0.0,141.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,1
7142.0,0.0,138.0,360.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,1
6250.0,0.0,128.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
6783.0,0.0,130.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,1
5821.0,0.0,144.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
5316.0,0.0,136.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
6000.0,0.0,141.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
20667.0,0.0,128.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0
6406.0,0.0,150.0,360.0,1.0,3.0,0.0,1.0,0.0,1,1,0,0,0
6256.0,0.0,160.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,2,1
4160.0,0.0,71.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
6608.0,0.0,137.0,180.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0,1
14880.0,0.0,96.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
7200.0,0.0,120.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
6950.0,0.0,175.0,180.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,1
3858.0,0.0,76.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
4600.0,0.0,73.0,180.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
5829.0,0.0,138.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,1
4583.0,0.0,84.0,360.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0
4300.0,0.0,136.0,360.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0
4344.0,736.0,87.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,0
6782.0,0.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,2,0
4887.0,0.0,133.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,0
7660.0,0.0,104.0,360.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,0
5000.0,0.0,132.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
13262.0,0.0,40.0,360.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1
7167.0,0.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,1
6277.0,0.0,118.0,360.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0
18165.0,0.0,125.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1
6325.0,0.0,175.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,1
4885.0,0.0,48.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,1
14866.0,0.0,70.0,360.0,1.0,2.0,0.0,0.0,1.0,0,1,0,0,1
6500.0,0.0,105.0,360.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0
3667.0,1459.0,144.0,360.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1
4310.0,0.0,130.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
